0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2019-09-01 0:00,1,jeju,27,수집,공기질,습도,77.41,78.59,77.882,389.41,5,0.768114575,0.59,,20190901,0,0,,
2019-09-01 0:00,1,jeju,27,수집,공기질,초미세먼지,4.889,10.111,7.9778,39.889,5,1.706165291,2.911,,20190901,0,0,,
2019-09-01 0:00,1,jeju,27,수집,공기질,온도,21.005,21.495,21.241,106.205,5,0.443395986,0.1966,,20190901,0,0,,
2019-09-01 0:00,1,jeju,29,수집,공기질,초미세먼지,13.704,20.296,16.5408,82.704,5,2.033715811,4.136,,20190901,0,0,,
2019-09-01 0:00,1,jeju,31,수집,공기질,습도,62.633,64.367,63.1266,315.633,5,0.725947657,0.527,,20190901,0,0,,
2019-09-01 0:00,1,jeju,31,수집,공기질,초미세먼지,11.486,17.514,14.0972,70.486,5,2.423633636,5.874,,20190901,0,0,,
2019-09-01 0:00,1,jeju,31,수집,공기질,온도,23.319,24.581,23.8638,119.319,5,0.763282385,0.5826,,20190901,0,0,,
2019-09-01 0:00,1,jeju,33,수집,공기질,습도,72.705,74.295,73.541,367.705,5,0.731436942,0.535,,20190901,0,0,,
2019-09-01 0:00,1,jeju,33,수집,공기질,초미세먼지,8.988,18.012,11.9976,59.988,5,3.28816058,10.812,,20190901,0,0,,
2019-09-01 0:00,1,jeju,33,수집,공기질,온도,21.767,22.433,22.0334,110.167,5,0.577061522,0.333,,20190901,0,0,,
2019-09-01 0:00,1,jeju,34,수집,공기질,습도,75.729,76.271,75.9458,379.729,5,0.520576603,0.271,,20190901,0,0,,
2019-09-01 0:00,1,jeju,34,수집,공기질,초미세먼지,12.857,33.143,19.1714,95.857,5,7.450033557,55.503,,20190901,0,0,,
2019-09-01 0:00,1,jeju,34,수집,공기질,온도,22.378,23.222,22.7156,113.578,5,0.649615271,0.422,,20190901,0,0,,
2019-09-01 0:00,1,jeju,35,수집,공기질,습도,79.494,81.506,80.2988,401.494,5,0.863712915,0.746,,20190901,0,0,,
2019-09-01 0:00,1,jeju,35,수집,공기질,초미세먼지,8.715,13.285,10.543,52.715,5,1.710263138,2.925,,20190901,0,0,,
2019-09-01 0:00,1,jeju,35,수집,공기질,온도,15.995,16.405,16.199,80.995,5,0.332565783,0.1106,,20190901,0,0,,
2019-09-01 0:00,1,jeju,36,수집,공기질,습도,83.474,84.526,83.8948,419.474,5,0.725258575,0.526,,20190901,0,0,,
2019-09-01 0:00,1,jeju,36,수집,공기질,초미세먼지,9.843,17.157,14.7686,73.843,5,2.513364279,6.317,,20190901,0,0,,
2019-09-01 0:00,1,jeju,36,수집,공기질,온도,20.137,20.363,20.2074,101.037,5,0.254165301,0.0646,,20190901,0,0,,
2019-09-01 0:00,1,jeju,37,수집,공기질,습도,75.86,77.14,76.372,381.86,5,0.6164414,0.38,,20190901,0,0,,
2019-09-01 0:00,1,jeju,37,수집,공기질,초미세먼지,18.857,43.143,24.3714,121.857,5,9.315739369,86.783,,20190901,0,0,,
2019-09-01 0:00,1,jeju,37,수집,공기질,온도,19.614,20.786,20.0828,100.414,5,0.765506368,0.586,,20190901,0,0,,
2019-09-01 0:00,1,jeju,38,수집,공기질,습도,67.569,68.431,67.9138,339.569,5,0.656505902,0.431,,20190901,0,0,,
2019-09-01 0:00,1,jeju,38,수집,공기질,초미세먼지,10.471,30.529,17.6942,88.471,5,6.564221203,43.089,,20190901,0,0,,
2019-09-01 0:00,1,jeju,38,수집,공기질,온도,22.131,23.269,22.5862,112.931,5,0.754320887,0.569,,20190901,0,0,,
2019-09-01 0:00,1,jeju,39,수집,공기질,습도,60.916,61.084,60.9832,304.916,5,0.289827535,0.084,,20190901,0,0,,
2019-09-01 0:00,1,jeju,39,수집,공기질,초미세먼지,20.785,43.215,28.757,143.785,5,8.739279146,76.375,,20190901,0,0,,
2019-09-01 0:00,1,jeju,39,수집,공기질,온도,24.044,25.356,24.5688,122.844,5,0.809938269,0.656,,20190901,0,0,,
2019-09-01 0:00,1,jeju,40,수집,공기질,습도,67.459,68.541,67.8918,339.459,5,0.735527022,0.541,,20190901,0,0,,
